ordno ,custno ,name            ,postcode   ,city      ,region ,regionmgr ,mgrnm ,salespers ,salesnm ,orddate    ,deldate    ,paydate    ,quantity ,prodno ,proddescr                     ,catdescr       ,price ,linetotal
 1009 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-01-22 ,2020-01-25 ,2020-01-30 ,       6 ,   408 ,Soja Chocolademelk Biologisch ,organic food   ,17.88 ,   107.28
 1010 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      804 ,Bertha  ,2020-01-22 ,2020-01-27 ,2020-02-23 ,      18 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   378
 1011 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-01-23 ,2020-01-25 ,2020-02-09 ,      14 ,   403 ,Vruchtenyoghurt Aardbei       ,dairy products ,16.25 ,   227.5
 1012 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      806 ,Karel   ,2020-01-25 ,2020-01-30 ,2020-02-06 ,       7 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,   585.2
 1013 ,    18 ,Bocht           ,5798ZK177  ,Laarbeek  ,RHMD   ,      803 ,Gerda ,      801 ,Herman  ,2020-01-25 ,2020-01-28 ,2020-02-12 ,       9 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   179.55
 1014 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-01-27 ,2020-01-31 ,2020-02-11 ,      22 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   520.3
 1014 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-01-27 ,2020-01-31 ,2020-02-11 ,       9 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,    80.55
 1014 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-01-27 ,2020-01-31 ,2020-02-11 ,      23 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   373.75
 1015 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-01-28 ,2020-01-31 ,2020-02-14 ,       9 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   189
 1016 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      805 ,Harrie  ,2020-02-04 ,2020-02-06 ,2020-02-18 ,       6 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,    97.5
 1017 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      804 ,Bertha  ,2020-02-04 ,2020-02-05 ,2020-02-15 ,      18 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,   207
 1017 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      804 ,Bertha  ,2020-02-04 ,2020-02-05 ,2020-02-15 ,      14 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,   125.3
 1018 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      801 ,Herman  ,2020-02-05 ,2020-02-10 ,2020-02-21 ,      21 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   496.65
 1019 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      805 ,Harrie  ,2020-02-05 ,2020-02-08 ,2020-02-14 ,      10 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   162.5
 1020 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-02-06 ,2020-02-10 ,2020-02-19 ,      11 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   178.75
 1020 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-02-06 ,2020-02-10 ,2020-02-19 ,      20 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   399
 1021 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      805 ,Harrie  ,2020-02-06 ,2020-02-10 ,2020-03-05 ,       7 ,   408 ,Soja Chocolademelk Biologisch ,organic food   ,17.88 ,   125.16
 1022 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      802 ,Klaas   ,2020-02-07 ,2020-02-14 ,2020-02-18 ,      17 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,   195.5
 1023 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      801 ,Herman  ,2020-02-10 ,2020-02-11 ,2020-02-19 ,       8 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   189.2
 1024 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-02-11 ,2020-02-15 ,2020-03-08 ,      17 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   357
 1025 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      804 ,Bertha  ,2020-02-12 ,2020-02-15 ,2020-03-01 ,       5 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   105
 1026 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      805 ,Harrie  ,2020-02-12 ,2020-02-14 ,2020-03-06 ,       6 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,   501.6
 1027 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-02-15 ,2020-02-17 ,2020-02-26 ,      21 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   341.25
 1028 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      804 ,Bertha  ,2020-02-17 ,2020-02-18 ,2020-03-11 ,      11 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,    98.45
 1029 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      806 ,Karel   ,2020-02-17 ,2020-02-22 ,2020-03-05 ,      18 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   425.7
 1030 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      806 ,Karel   ,2020-02-18 ,2020-02-20 ,2020-03-12 ,       8 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   159.6
 1031 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      805 ,Harrie  ,2020-02-27 ,2020-03-01 ,2020-03-25 ,      11 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   260.15
 1031 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      805 ,Harrie  ,2020-02-27 ,2020-03-01 ,2020-03-25 ,      18 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,   207
 1031 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      805 ,Harrie  ,2020-02-27 ,2020-03-01 ,2020-03-25 ,      21 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   341.25
 1032 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-03 ,2020-03-07 ,2020-03-10 ,       7 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,    62.65
 1032 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-03 ,2020-03-07 ,2020-03-10 ,      16 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   319.2
 1033 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-03-04 ,2020-03-07 ,2020-04-04 ,       6 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,    45
 1034 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      806 ,Karel   ,2020-03-05 ,2020-03-10 ,2020-03-25 ,       8 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,    60
 1035 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      804 ,Bertha  ,2020-03-06 ,2020-03-13 ,2020-03-21 ,      14 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   294
 1036 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      804 ,Bertha  ,2020-03-09 ,2020-03-11 ,2020-03-23 ,      16 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,  1337.6
 1037 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      802 ,Klaas   ,2020-03-09 ,2020-03-16 ,2020-03-31 ,       9 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   189
 1038 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-11 ,2020-03-18 ,2020-03-21 ,      24 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,   276
 1039 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-14 ,2020-03-16 ,2020-04-02 ,      21 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,  1755.6
 1039 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-14 ,2020-03-16 ,2020-04-02 ,       9 ,   407 ,Zwezerik                      ,luxury food    ,14.25 ,   128.25
 1039 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-14 ,2020-03-16 ,2020-04-02 ,       8 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   130
 1039 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-14 ,2020-03-16 ,2020-04-02 ,      24 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   478.8
 1040 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      804 ,Bertha  ,2020-03-15 ,2020-03-18 ,2020-03-23 ,       5 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   105
 1041 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      806 ,Karel   ,2020-03-17 ,2020-03-22 ,2020-04-13 ,      15 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   243.75
 1042 ,    18 ,Bocht           ,5798ZK177  ,Laarbeek  ,RHMD   ,      803 ,Gerda ,      802 ,Klaas   ,2020-03-17 ,2020-03-19 ,2020-04-06 ,       9 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   179.55
 1043 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-03-18 ,2020-03-19 ,2020-03-21 ,       6 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   119.7
 1044 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      804 ,Bertha  ,2020-03-20 ,2020-03-23 ,2020-04-15 ,      11 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,   126.5
 1045 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      801 ,Herman  ,2020-03-20 ,2020-03-25 ,2020-03-29 ,      11 ,   408 ,Soja Chocolademelk Biologisch ,organic food   ,17.88 ,   196.68
 1046 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-03-23 ,2020-03-26 ,2020-04-17 ,      23 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   543.95
 1046 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-03-23 ,2020-03-26 ,2020-04-17 ,      24 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,   214.8
 1047 ,    18 ,Bocht           ,5798ZK177  ,Laarbeek  ,RHMD   ,      803 ,Gerda ,      805 ,Harrie  ,2020-03-23 ,2020-03-28 ,2020-04-09 ,      12 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,   107.4
 1048 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      801 ,Herman  ,2020-03-27 ,2020-04-03 ,2020-04-23 ,      12 ,   407 ,Zwezerik                      ,luxury food    ,14.25 ,   171
 1049 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      806 ,Karel   ,2020-03-28 ,2020-04-03 ,2020-04-12 ,       7 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,   585.2
 1050 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      801 ,Herman  ,2020-03-30 ,2020-04-04 ,2020-04-18 ,      16 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,  1337.6
 1051 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-03-31 ,2020-04-05 ,2020-04-16 ,      20 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,   150
 1052 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      803 ,Gerda   ,2020-04-04 ,2020-04-11 ,2020-05-07 ,      11 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   178.75
 1053 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-04-06 ,2020-04-10 ,2020-04-15 ,      15 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,   112.5
 1054 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      802 ,Klaas   ,2020-04-09 ,2020-04-14 ,2020-05-03 ,       4 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,   334.4
 1055 ,    18 ,Bocht           ,5798ZK177  ,Laarbeek  ,RHMD   ,      803 ,Gerda ,      802 ,Klaas   ,2020-04-11 ,2020-04-14 ,2020-04-16 ,       9 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   146.25
 1056 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-04-13 ,2020-04-18 ,2020-04-26 ,       6 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,    45
 1056 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-04-13 ,2020-04-18 ,2020-04-26 ,      11 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   219.45
 1057 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      805 ,Harrie  ,2020-04-16 ,2020-04-19 ,2020-05-13 ,       5 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,    99.75
 1058 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      805 ,Harrie  ,2020-04-18 ,2020-04-20 ,2020-04-24 ,      14 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   279.3
 1059 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      801 ,Herman  ,2020-04-21 ,2020-04-22 ,2020-05-05 ,      23 ,   408 ,Soja Chocolademelk Biologisch ,organic food   ,17.88 ,   411.24
 1060 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      802 ,Klaas   ,2020-04-21 ,2020-04-27 ,2020-05-24 ,      15 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,   134.25
 1061 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      801 ,Herman  ,2020-04-28 ,2020-04-30 ,2020-05-03 ,      10 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,    75
 1062 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      801 ,Herman  ,2020-05-05 ,2020-05-10 ,2020-05-19 ,      15 ,   407 ,Zwezerik                      ,luxury food    ,14.25 ,   213.75
 1063 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      806 ,Karel   ,2020-05-09 ,2020-05-13 ,2020-06-09 ,      23 ,   407 ,Zwezerik                      ,luxury food    ,14.25 ,   327.75
 1064 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-05-10 ,2020-05-16 ,2020-05-23 ,      17 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,   127.5
 1064 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-05-10 ,2020-05-16 ,2020-05-23 ,      32 ,   408 ,Soja Chocolademelk Biologisch ,organic food   ,17.88 ,   572.16
 1064 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-05-10 ,2020-05-16 ,2020-05-23 ,      13 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   211.25
 1065 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      804 ,Bertha  ,2020-05-17 ,2020-05-19 ,2020-06-07 ,      12 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,   138
 1066 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      801 ,Herman  ,2020-05-18 ,2020-05-24 ,2020-06-09 ,       6 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   126
 1067 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-05-21 ,2020-05-28 ,2020-06-03 ,       6 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   141.9
 1068 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      804 ,Bertha  ,2020-05-23 ,2020-05-26 ,2020-06-22 ,      22 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   520.3
 1069 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-05-28 ,2020-06-04 ,2020-07-02 ,      18 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   378
 1070 ,    18 ,Bocht           ,5798ZK177  ,Laarbeek  ,RHMD   ,      803 ,Gerda ,      802 ,Klaas   ,2020-06-01 ,2020-06-03 ,2020-06-14 ,      15 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,   112.5
 1071 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      803 ,Gerda   ,2020-06-02 ,2020-06-07 ,2020-06-19 ,       9 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   212.85
 1072 ,    12 ,Rademakers      ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      804 ,Bertha  ,2020-06-05 ,2020-06-06 ,2020-06-19 ,      10 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,    75
 1073 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      803 ,Gerda   ,2020-06-06 ,2020-06-08 ,2020-06-13 ,      26 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,   232.7
 1074 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      801 ,Herman  ,2020-06-09 ,2020-06-16 ,2020-06-26 ,       6 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,    69
 1074 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      801 ,Herman  ,2020-06-09 ,2020-06-16 ,2020-06-26 ,      21 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,   187.95
 1074 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      801 ,Herman  ,2020-06-09 ,2020-06-16 ,2020-06-26 ,      13 ,   407 ,Zwezerik                      ,luxury food    ,14.25 ,   185.25
 1075 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-06-12 ,2020-06-13 ,2020-07-03 ,       7 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   113.75
 1076 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      801 ,Herman  ,2020-06-13 ,2020-06-20 ,2020-07-11 ,      12 ,   408 ,Soja Chocolademelk Biologisch ,organic food   ,17.88 ,   214.56
 1077 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      803 ,Gerda   ,2020-06-13 ,2020-06-15 ,2020-06-25 ,      15 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   299.25
 1078 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-06-15 ,2020-06-19 ,2020-07-04 ,      15 ,   403 ,Vruchtenyoghurt Aardbei       ,dairy products ,16.25 ,   243.75
 1079 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      802 ,Klaas   ,2020-06-17 ,2020-06-23 ,2020-07-13 ,      11 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,    82.5
 1080 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      801 ,Herman  ,2020-06-22 ,2020-06-27 ,2020-07-05 ,      22 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,   196.9
 1081 ,    14 ,Kraymans        ,5472ZK103  ,Erp       ,GVGH   ,      806 ,Karel ,      803 ,Gerda   ,2020-06-22 ,2020-06-27 ,2020-07-21 ,       5 ,   405 ,Magere Kwark                  ,dairy products , 8.95 ,    44.75
 1082 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-06-22 ,2020-06-24 ,2020-07-17 ,      12 ,   409 ,Vruchtenyoghurt Mango         ,dairy products ,16.25 ,   195
 1083 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-06-23 ,2020-06-25 ,2020-07-03 ,       7 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   165.55
 1083 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-06-23 ,2020-06-25 ,2020-07-03 ,       6 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,   501.6
 1083 ,    20 ,Bakermans       ,5631PK10   ,Waalre    ,REHV   ,      802 ,Klaas ,      802 ,Klaas   ,2020-06-23 ,2020-06-25 ,2020-07-03 ,      23 ,   404 ,Volle Yoghurt                 ,dairy products ,11.5  ,   264.5
